Decade,Year,GDP growth rate (%)
1960,1961,3.722742533
1960,1962,2.931127737
1960,1963,5.994353261
1960,1964,7.452950122
1960,1965,-2.63577011
1960,1966,-0.05532877
1960,1967,7.82596303
1960,1968,3.387929176
1960,1969,6.539700296
1970,1970,5.157229736
1970,1971,1.642930384
1970,1972,-0.553301312
1970,1973,3.295521135
1970,1974,1.18533626
1970,1975,9.149912015
1970,1976,1.663103637
1970,1977,7.254764586
1970,1978,5.712532089
1970,1979,-5.238182703
1980,1980,6.735821528
1980,1981,6.006203624
1980,1982,3.47573324
1980,1983,7.288892901
1980,1984,3.820737856
1980,1985,5.254299223
1980,1986,4.77656417
1980,1987,3.965355634
1980,1988,9.62778292
1980,1989,5.947343328
1990,1990,5.533454563
1990,1991,1.056831433
1990,1992,5.482396021
1990,1993,4.75077622
1990,1994,6.658924067
1990,1995,7.57449184
1990,1996,7.549522249
1990,1997,4.049820849
1990,1998,6.18441582
1990,1999,8.845755561
2000,2000,3.840991157
2000,2001,4.823966264
2000,2002,3.803975321
2000,2003,7.860381476
2000,2004,7.922943418
2000,2005,9.284824616
2000,2006,9.263964759
2000,2007,9.801360337
2000,2008,3.890957062
2000,2009,8.479783897
2010,2010,10.25996306
2010,2011,6.638362585
2010,2012,5.456388753
2010,2013,6.386106401
2010,2014,7.410227605
2010,2015,8.154425028
2010,2016,7.112686097
2010,2017,6.681182282
