Sr No,Date (dd/mm/yyyy),Startup Name,Industry Vertical,City  Location,Investors Name,Investment Type,  Amount in USD  ,Remarks
1,9/1/2020,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,200000000.00,
2,13/01/2020,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,8048394.00,
3,9/1/2020,Mamaearth,Ecommerce,Bengaluru,Sequoia Capital India,Series B,18358860.00,
4,2/1/2020,wealthbucket,FinTech,New Delhi,Vinod Khatumal,Pre-series A,3000000.00,
5,2/1/2020,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000.00,
6,13/01/2020,Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000.00,
7,10/1/2020,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000.00,
8,12/12/2019,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.00,
9,6/12/2019,CarDekho,Ecommerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.00,
10,3/12/2019,Dhruva Space,Aerospace,Bengaluru,Mumbai Angels Ravikanth Reddy,Seed,50000000.00,
11,13/12/2019,Rivigo,Technology,Gurgaon,SAIF Partners Spring Canter Investment Ltd.,Series F,20000000.00,
12,17/12/2019,Healthians,B2B-focused foodtech startup,Bengaluru,Paytm NPTK Sabre Partners and Neoplux,Series C,12000000.00,
13,16/12/2019,Licious,Ecommerce,Bengaluru,Vertex Growth Fund,Series E,30000000.00,
14,16/12/2019,InCred,Finance,Mumbai,,Debt Funding,5900000.00,
15,14/12/2019,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,2000000.00,
16,11/12/2019,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.00,
17,20/12/2019,Lenskart.com,Ecommerce,Faridabad,SoftBank Vision Fund,Series G,231000000.00,
19,14/11/2019,Misters,Health and wellness,Gurgaon,Sauce.vc Rainforest Ventures,Series B,486000.00,
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,Prime Venture Partners LetsVenture PS1 Venture and GlobalLogic co-founder Rajul Garg,Seed,1500000.00,
21,17/11/2019,Burger Singh,Food and Beverage,Gurgaon,RB Investments,Venture,0.00,
22,18/11/2019,Healthians,Health and Wellness,Gurgaon,DG Daiwa Ventures DG Incubation,Series B,12000000.00,
23,15/11/2019,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.00,
24,20/11/2019,Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,17411265.00,
25,12/11/2019,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000.00,
27,11/11/2019,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000.00,
28,19/11/2019,Digital Mall Asia,Ecommerce,New Delhi,Amour Infrastructure,Seed Funding,220000000.00,
29,18/11/2019,Medikabazaar,Healthcare,Mumbai,Ackermans & van Haaren HealthQuad Rebright Partners Toppan Printing,Series B,15800000.00,
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Bengaluru,Matrix Partners Stellaris Venture Partners Kalaari Capital,Series B,283000000.00,
32,25/11/2019,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.00,
33,4/10/2019,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,45000000.00,
34,2/10/2019,Udaan,B2B,Bengaluru,Altimeter Capital DST Global,Series D,585000000.00,
35,21/10/2019,The Man Company,Consumer Goods,Gurgaon,Ayushmann Khurana,Corporate Round,0.00,
36,5/9/2019,FPL Technologies,FinTech,Pune,Matrix Partners India Sequoia India,Maiden Round,4500000.00,
37,4/9/2019,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000.00,
38,4/9/2019,Digital F5,Advertising Marketing,Mumbai,TIW Private Equity,Private Equity Round,6000000.00,
39,4/9/2019,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.00,
41,4/9/2019,Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,1000000.00,
42,4/9/2019,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,10000000.00,
44,3/9/2019,Vyapar App,Accounting,Bengaluru,India Quotient Axilor Ventures,Series A,5000000.00,
45,1/8/2019,CarDekho,Ecommerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.00,nan
46,1/8/2019,Progcap,Finance,New Delhi,Sequoia India,Series A,5000000.00,nan
47,1/8/2019,MyPetrolPump,Retail,Bengaluru,,Seed Funding Round,1600000.00,nan
48,1/8/2019,Alteria Capital,Finance,Mumbai,Azim Premji Binny Bansal,Single Venture,140000000.00,nan
49,1/8/2019,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.00,nan
50,12/8/2019,Meesho,Ecommerce,Bengaluru,Naspers,Series D,125000000.00,nan
51,13/08/2019,Cars24,Ecommerce,Gurgaon,MS Dhoni,Series D,11000000.00,nan
54,23/08/2019,Lo! Foods,Consumer Goods,Bengaluru,Rashmi Daga (founder FreshMenu) Raveen Sastry (co-founder Myntra) and Mitesh Shah (finance chief BookMyShow),Seed Round,500000.00,nan
56,22/08/2019,INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,15000000.00,nan
57,21/08/2019,HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series C,6590000.00,nan
58,23/08/2019,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000.00,nan
59,19/08/2019,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,0.00,nan
60,19/08/2019,Grofers,Ecommerce,Gurgaon,Softbank Vision Fund,Series F,70000000.00,nan
61,27/08/2019,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,3900000000.00,nan
62,2/7/2019,RenewBuy,Finance,Gurgaon,Lok Capital IIFL Wealth,Series B,19000000.00,nan
64,1/7/2019,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,145000.00,nan
65,3/7/2019,Ola Cabs,Transport,Bengaluru,DIG Investment Ab Deshe Holdings Samih Toukan and Hussam Khoury,Series J,1000000.00,nan
66,1/7/2019,Uniphore,Artificial Intelligence,Chennai,March Capital Partners,Series C,38080000.00,nan
67,4/7/2019,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,500000.00,nan
71,10/7/2019,Indus OS,Tech,Mumbai,Ventureast,Series B,5750000.00,nan
